Index,Title,Album,Date,Year,Lyrics,Love,Alcohol,Lonely,Smoke,Dream,Lie,Life,Death,Sick,City,Home,Time,Lost,Money,Nothing,Dance,Memory,Water,Friend,Pain,Wait,Link
1,Roman Candle,Roman Candle,"Jul. 14, 1994",1994,"[Verse 1]
He played himself
Didn't need me to give him hell
He could be cool or cruel to you and me
Knew we'd put up with anything

[Chorus]
I want to hurt him
I want to give him pain
I'm a roman candle
My head is full of flames

[Verse 2]
I'm hallucinating, hallucinating
I hear you cry
Your tears are cheap
Wet hot red swollen cheeks
Fall asleep

[Chorus]
I want to hurt him
I want to give him pain
I'm a roman candle
My head is full of flames

[Bridge]
I want to hurt him
I want to hurt him
I want to hurt him
I want to give him pain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://genius.com/Elliott-smith-roman-candle-lyrics
2,Condor Ave,Roman Candle,"Jul. 14, 1994",1994,"[Verse 1]
She took the Oldsmobile out past Condor Avenue
And she locked the car and slipped past into rhythmic quietude
Lights burning, voice dry and hoarse
I threw the screen door like a bastard back and forth
The chimes fell over each other, I fell onto my knees
The sound of the car driving off made me feel diseased
A sick shouting like you hear at the fairground
Now I'm picking up to put away anything of yours that's still around

[Refrain]
I don't know what to do with your clothes or your letters
It'll make a whisper out of you

[Verse 2]
She took the Oldsmobile out past Condor Avenue
The fairground's lit, a drunk man sits by the gate she's driving through
Got his hat tipped bottle back in between his teeth
Looks like he's buried in the sand at the beach
I can't think about you driving off to leave barely awake
To take a little nap while the road is straight
I wish that car had never been discovered
They took away the bottle and the hat he was under

[Refrain]
That's the one thing that he could never do
And it'll make a whisper out of you",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-condor-ave-lyrics
3,No Name #1,Roman Candle,"Jul. 14, 1994",1994,"[Verse 1]
At a party he was waiting
Looking kind of spooky and withdrawn
Like he could be underwater
The mighty mother with her hundred arms
Swept all aside
I hate to walk behind
Other people's ambitions
I saw you waiting

[Bridge]
Saint-like, with your warning

[Chorus]
Leave alone
You don't belong here

[Verse 2]
Got nervous, started whistling
Every thought a ricochet
Did you notice? Well, I wondered
What's the worst thing I could say?
Froze up inside
""You remind me of
Someone's daughter,"" I forgot her
I forgot her name, ashamed",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,https://genius.com/Elliott-smith-no-name-1-lyrics
4,No Name #2,Roman Candle,"Jul. 14, 1994",1994,"[Verse 1]
Concrete hands picked up the telephone ring
""Do you know who you're talking to?""
""No, and I don't care who""
She whispered quiet terror news
He didn't give a hoot
Said, ""Do what you have to do""

[Verse 2]
All she had to do was speak
Mouthpiece to cheek
""Please say no more
I'm lying here on the ground
A strip of wet concrete""
Her name was just a broken sound
A stutter step you hear when you're falling down

[Chorus]
Killing time won't stop this crying
Killing time won't stop this crying
Killing time won't stop this crying

[Verse 3]
You better start watching what message that you send out
No more situations I only go in to be kicked out
He got knocked down leaving like he ran into a clothesline
And remembered a couple of words that hid a crime
""You were just fine
You'll be just fine
But I'm on the other line""",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,https://genius.com/Elliott-smith-no-name-2-lyrics
5,No Name #3,Roman Candle,"Jul. 14, 1994",1994,"[Verse 1]
We arrived too late
Our mouths were opening
I turned off the light
So, come on, night

[Verse 2]
You're a witness, you
You've seen me interrupt
A good, old-fashioned fight
So, come on, night

[Chorus]
Everyone is gone
Home to oblivion
Home to oblivion
Home to oblivion

[Verse 3]
Watched the dying day
Blushing in the sky
Everyone is uptight
So, come on, night

[Chorus]
Everyone is gone
Home to oblivion
Home to oblivion
Home to oblivion
Home to oblivion",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-no-name-3-lyrics
6,Drive All Over Town,Roman Candle,"Jul. 14, 1994",1994,"Two-dollar color pictures from a photo booth
Dirty, stepped-on, lying out on the floor of their room
Faces fell long in the half-light
He looks all wrong, but that's her alright
Look at him smiling full of teeth clenched tight

He knew the one time with the army captain
He got over that whole deal before it happened
And it's okay, I knew exactly what you meant
When you said you were an accident
When it's 3 AM, he wonders where in the hell she went

And he'll drive all over town
Drive all over town
And he'll drive all over town
Drive all over town
Until he tracks her down
He'll drive all over town",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-drive-all-over-town-lyrics
7,No Name #4,Roman Candle,"Jul. 14, 1994",1994,"For a change she got out
Before he hurt her bad
Took her records and clothes
And pictures of her
Boy, it really made her sad
Packed it up and didn't look back
I'm okay, let's just forget all about it

The car was cold and it smelled
Like old cigarettes and pine
In her bag I saw things
She drew when she was nine
Like this one here
Her alone, nobody near
What a shame, let's just not talk about it

No, it doesn't look like you
But you did wear cowboy boots
That's your fame
There's no question about it

Once we got back inside
With one ear to the ground
I was ready to hide
'Cause I don't know who's around
And you look scared
It's our secret, do not tell, okay?
Let's just not talk about it",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,https://genius.com/Elliott-smith-no-name-4-lyrics
8,Last Call,Roman Candle,"Jul. 14, 1994",1994,"[Chorus]
Last call, he was sick of it all
Asleep at home
Told you off
And goodbye

[Verse 1]
Well, you know one day it'll come to haunt you
That you didn't tell him quite the truth
You're a crisis, you're an icicle
You're a tongue-less talker, you don't care what you say
You're a jaywalker and you just
Just walk away, and that's all you do
The clap of the fading-out sound of your shoes
Made him wonder who he thought that he knew

[Chorus]
Last call, he was sick of it all
The endless stream of reminders
Made him so sick of you, sick of you, sick of you
Sick of your sound, sick of you coming around

[Verse 2]
Trying to crawl under my skin
When I already shed my best defense
It comes out all around that you won
And I think I'm all done, you can switch me off safely
While I'm lying here waiting for sleep to overtake me
Yeah, yeah
You're still here but just check to make sure
All you aspired to do was endure
You can't ask for more, ask for more
Knowing you'll never get that which you ask for
So you cast your shadow everywhere like the man in the moon
And you start to drink, you just want to continue
It'll all be yesteryear soon
You start to drink, you just want to continue
It'll all be yesteryear soon",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,https://genius.com/Elliott-smith-last-call-lyrics
9,Kiwi Maddog 20/20,Roman Candle,"Jul. 14, 1994",1994,This song is an instrumental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-kiwi-maddog-20-20-lyrics
10,Needle in the Hay,Elliott Smith: Expanded 25th Anniversary Edition,"Jan. 1, 1995",1995,"[Verse 1]
Your hand on his arm
Haystack charm around your neck
Strung out and thin
Calling some friend, trying to cash some check
He's acting dumb
That's what you've come to expect

[Chorus]
Needle in the hay
Needle in the hay
Needle in the hay
Needle in the hay

[Verse 2]
He's wearing your clothes
Head down to toes a reaction to you
You say you know what he did
But you idiot kid
You don't have a clue
Sometimes they just get caught in the eye
You're pulling him through

[Chorus]
Needle in the hay
Needle in the hay
Needle in the hay
Needle in the hay",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,https://genius.com/Elliott-smith-needle-in-the-hay-lyrics
